"rank","country","pop","imfGDP","unGDP","gdpPerCapita"
1,"United States",329064.917,21410.23,18624.475,65063.84878458495
2,"China",1433783.686,15543.71,11218.281029298,10841.042586670915
3,"Japan",126860.30099999999,5362.22,4936.211827875,42268.69996154274
4,"Germany",83517.045,4416.8,3477.796274497,52885.01287371937
5,"India",1366417.754,3155.23,2259.642382872,2309.125441881517
6,"France",65129.727999999995,3060.07,2465.453975282,46984.22815461474
7,"United Kingdom",67530.172,3022.58,2647.898654635,44758.95604116038
8,"Italy",60550.075,2261.46,1858.913163928,37348.59122800426
9,"Brazil",211049.527,2256.85,1795.925681016,10693.46153995408
10,"Canada",37411.047,1908.53,1529.760492201,51015.14533928976
11,"South Korea",51225.308,1777.65,1411.245589977,34702.573189018214
12,"Russia",145872.256,1754.29,1246.015056927,12026.207368726785
13,"Spain",46736.776,1583.87,1237.255019654,33889.15829367434
14,"Australia",25203.197999999996,1581.89,1304.463104965,62765.44746424641
15,"Mexico",127575.52900000001,1285.08,1076.914464477,10073.09168202626
16,"Indonesia",270625.568,1152.89,932.259177621,4260.092675352833
17,"Netherlands",17097.13,994.771,777.227541581,58183.50799227706
18,"Turkey",83429.615,961.655,863.711710542,11526.542463368672
19,"Switzerland",8591.365,779.327,668.851296244,90710.49827355722
20,"Saudi Arabia",34268.528,759.219,639.617050945,22154.99305952097
21,"Argentina",44780.677,659.694,545.866164479,14731.666517681274
22,"Poland",37887.768,649.974,471.402266588,17155.246516501054
23,"Sweden",10036.379,628.802,514.475856961,62652.27728048133
24,"Taiwan",23773.876,620.6,0,26104.283542153582
25,"Belgium",11539.328000000001,587.699,467.955267357,50930.08882319663
26,"Thailand",69625.582,520.074,407.026319505,7469.582085504147
27,"Austria",8955.101999999999,503.538,390.799991147,56229.175279075556
28,"Nigeria",200963.599,475.566,404.649125399,2366.4285590347135
29,"Norway",5378.857,460.177,371.068933176,85552.93438736148
30,"United Arab Emirates",9770.529,427.83,348.74362762,43787.80309643418
31,"Iran",82913.906,413.114,425.402616011,4982.445284871756
32,"Ireland",4882.495,409.225,304.819019837,83814.7299690015
